"","STREET_ID","left_begin","left_end","right_begin","right_end","STREET","longitude","latitude","nearestHC","HCRating"
"1",13018186,81,87,80,86,"SB WEST ST FROM FRANKLIN ST RAMP",-76.1569058372749,43.0547064836643,0.389708459350367,2.11255783603992
"2",13018182,81,81,80,80,"SB WEST ST FROM WB I 690 RAMP",-76.1568999340662,43.0546538228701,0.390106195324743,2.11471390996951
"3",13018662,85,85,84,84,"SB WEST ST FROM WB I 690 RAMP",-76.1572214435073,43.0546729122755,0.405932925815551,2.20050851543684
"4",13020319,201,299,200,298,"VELASKO RD",-76.1880834098691,43.035272526849,0.330354127059983,1.79080587819947
"5",13020320,151,151,150,150,"VELASKO RD",-76.1882250045636,43.0356507212309,0.340702145826739,1.84690111454522
"6",13008668,81,81,80,80,"LIVERPOOL FROM NB I 81 RAMP",-76.1730611568667,43.0753717478531,1.24034204600299,6.7237296132123
"7",13001238,1,9,2,10,"ONONDAGA LAKE PKWY FROM I 81 RAMP",-76.1730611568667,43.0753717478531,1.24034204600299,6.7237296132123
"8",13018661,8299,8299,8298,8298,"SB I 81",-76.1405163316212,43.0195764297747,0.128891478823823,0.698703600229625
"9",13017594,301,301,300,300,"DRISCOLL AVE",-76.1974718868014,43.0528125349445,1.29068964957143,6.99665729002395
"10",13012401,285,299,286,298,"ROSS PARK",-76.1470505038298,43.0772004241493,0.143429009708303,0.777509625733603
"11",13018802,401,499,400,498,"SMALL RD",-76.1169213518556,43.0211291493741,1.16368723887508,6.30819407739629
"12",13018556,8339,8339,8338,8338,"SB I 81",-76.1403385168534,43.0264458567204,0.593263663215566,3.21600358035085
"13",13018557,35,39,34,38,"NB I 81 TO EB I 690",-76.1411953356846,43.0513363415074,0.17806894848055,0.965288136406014
"14",12580638,501,525,500,524,"WADSWORTH ST",-76.1392364151493,43.0749492455121,0.420824183767816,2.28123204842863
"15",13018553,61,63,60,62,"WB I 690 TO SB I 81",-76.1419587376978,43.0515519985644,0.219534750582035,1.19006874625779
